date;epoch;fraction_mask;fraction_travel_abroad;fraction_travel_settlement;infectednum
2020-03-23;1584918001;0.0;0.031067781887423512;0.0;36
2020-03-24;1585004401;0.0;0.03524604871507586;0.0;20
2020-03-25;1585090801;0.0;0.04197532067772507;0.0;39
2020-03-26;1585177201;0.0;0.03142175541393803;0.0;35
2020-03-27;1585263601;0.0;0.039716816108801255;0.0;39
2020-03-28;1585350001;0.0;0.01995032062904654;0.0;43
2020-03-29;1585436401;0.0;0.026918156713479198;0.0;65
2020-03-30;1585522801;0.0;0.027044231690233445;0.10966453853196827;39
2020-03-31;1585609201;0.4060840141200798;0.037338640555529164;0.13398963990038112;45
2020-04-01;1585695601;0.389039343797076;0.035848650555832993;0.10454034179344747;33
2020-04-02;1585782001;0.43721682465546785;0.024552557381936766;0.12698075424434188;60
2020-04-03;1585868401;0.45785941952792353;0.03589902319551585;0.1344032765633217;38
2020-04-04;1585954801;0.5607093140681404;0.0254283537796815;0.1467820095116171;55
2020-04-05;1586041201;0.4751131236097122;0.030096418416414517;0.11430586673892762;55
2020-04-06;1586127601;0.36604459197261;0.0233461623016876;0.11180210319665958;11
2020-04-07;1586214001;0.3478808056194226;0.016718163406480416;0.12216817600055757;73
2020-04-08;1586300401;0.48362406540531955;0.017833098417731674;0.14034861185282677;78
2020-04-09;1586386801;0.5225587290327403;0.04588530955720142;0.2385577906386535;85
2020-04-10;1586473201;0.5086993215331833;0.026926387126000376;0.21001893231677415;210
2020-04-11;1586559601;0.27168145579077146;0.021445188903392084;0.09900574748285686;120
2020-04-12;1586646001;0.38907363620347646;0.018484013393819637;0.1043636041922786;100
2020-04-13;1586732401;0.19002100972447702;0.038882718175245884;0.08490245306063789;48
2020-04-14;1586818801;0.24926948696773332;0.02982889323310837;0.08706818755312991;54
2020-04-15;1586905201;0.47195474882299676;0.014840936813631222;0.1172246522547228;67
2020-04-16;1586991601;0.4687574937790538;0.027773918247170938;0.18964127200712355;73
2020-04-17;1587078001;0.4778694710903181;0.015805193992891615;0.17024506972407916;111
2020-04-18;1587164401;0.5668887450965968;0.015486707342224343;0.2403462898362095;71
2020-04-19;1587250801;0.3937522390200384;0.013110747597818499;0.16236572827391083;82
2020-04-20;1587337201;0.39886144748745544;0.011754778242029642;0.08226530241067438;68
2020-04-21;1587423601;0.4352727522145886;0.011796137420881229;0.16866602357186947;114
2020-04-22;1587510001;0.5394399209913797;0.021073779626905646;0.17639576735496076;70
2020-04-23;1587596401;0.5666503475600827;0.024910909662689204;0.21809010172504112;116
2020-04-24;1587682801;0.5616494343065946;0.011490714745335221;0.20757276718671805;99
2020-04-25;1587769201;0.5425621479492501;0.00799642338446277;0.2025209127679112;60
2020-04-26;1587855601;0.4997182703942081;0.0111461098072208;0.12594857819626146;57
2020-04-27;1587942001;0.5013835703702741;0.010547019804968097;0.11930733039656467;83
2020-04-28;1588028401;0.6004196763694952;0.006535721798387571;0.18272218923221012;66
2020-04-29;1588114801;0.6298409694173954;0.01905386375499168;0.17603260522454242;78
2020-04-30;1588201201;0.6417321706488981;0.014771171678450835;0.1856384075665936;48
2020-05-01;1588287601;0.6575097994346254;0.011756768982871613;0.1742412298199669;88
2020-05-02;1588374001;0.46894820733054216;0.007794870048308034;0.09742468466765508;79
2020-05-03;1588460401;0.5872337623629361;0.011962017038117927;0.16571858171880574;56
2020-05-04;1588546801;0.4669131820112909;0.00797624490555909;0.17531956791804154;37
2020-05-05;1588633201;0.6860800531737837;0.009513973589793176;0.15946712886702402;30
2020-05-06;1588719601;0.6684886047569892;0.013359245131281868;0.17127154866499164;46
2020-05-07;1588806001;0.7574615246946035;0.020832235261121004;0.1233995469116877;39
2020-05-08;1588892401;0.7345163697061677;0.016946239581191375;0.15820107977001288;28
2020-05-09;1588978801;0.7051498566657077;0.010119847584380807;0.2251553805890957;35
2020-05-10;1589065201;0.6578266187511833;0.011431350541401722;0.17743440870733723;50
2020-05-11;1589151601;0.6145024504465424;0.01452673736678922;0.21829712241333613;21
2020-05-12;1589238001;0.6646487893276205;0.0071963528071156534;0.18076581710651296;29
2020-05-13;1589324401;0.7558482943456273;0.0040078950880175135;0.1921565032790155;28
2020-05-14;1589410801;0.765531458686769;0.019799159463889854;0.176061976851347;39
2020-05-15;1589497201;0.709159174329461;0.014805429551619557;0.237454238388337;37
2020-05-16;1589583601;0.8124285536991804;0.002873379441306028;0.2135187480867024;56
2020-05-17;1589670001;0.7030061431756224;0.00521992760363327;0.201779365433631;36
2020-05-18;1589756401;0.5935361433576458;0.006993241147649916;0.17783675535694873;26
2020-05-19;1589842801;0.6897874763767358;0.00478476484462814;0.21867118458867824;21
2020-05-20;1589929201;0.6744065852706473;0.007061116524820821;0.2501233676671772;42
2020-05-21;1590015601;0.7316100731495201;0.008938869649278036;0.2522153952960364;43
2020-05-22;1590102001;0.7930530269419643;0.00549796189705442;0.20060738440344206;37
2020-05-23;1590188401;0.7865790165714104;0.006549972217052628;0.24164629594289253;35
2020-05-24;1590274801;0.7463008640963901;0.006622872613651242;0.18952768268313158;28
2020-05-25;1590361201;0.6976559525489437;0.005889126479711298;0.1483799968957008;15
2020-05-26;1590447601;0.7973623873808313;0.006649411475831209;0.17188081710274852;15
2020-05-27;1590534001;0.80124161135994;0.005019671151192805;0.19227713117728312;22
2020-05-28;1590620401;0.7985442011626396;0.0057620830848829525;0.17492590128172592;23
2020-05-29;1590706801;0.7694578138426421;0.002065987870078007;0.18742961807371064;25
2020-05-30;1590793201;0.7797998074415426;0.0036949486053165018;0.2097448644111911;26
2020-05-31;1590879601;0.6920492642198227;0.0069565287594291056;0.2218260401070028;9
2020-06-01;1590966001;0.5496554894478309;0.009219873173988589;0.15573230988946848;16
2020-06-02;1591052401;0.49403679759925967;0.0036930818549948167;0.16331006473582832;29
2020-06-03;1591138801;0.7282684594626442;0.0037123996265153;0.2775013854324867;10
2020-06-04;1591225201;0.6555672531049607;0.005444130553994428;0.21100075590114664;23
2020-06-05;1591311601;0.6236374848574234;0.0025905426015848526;0.26791575681361846;16
2020-06-06;1591398001;0.7222309459803751;0.004217719438784539;0.21134874264964115;20
2020-06-07;1591484401;0.5517227606326237;0.0016428132354256082;0.22382520066939898;18
2020-06-08;1591570801;0.5047230541941136;0.004769171037349934;0.22172289055119074;6
2020-06-09;1591657201;0.6216417901760201;0.0;0.28100042254260116;3
2020-06-10;1591743601;0.5926390640981224;0.02900914988879525;0.2096369465777025;10
2020-06-11;1591830001;0.5594380682120618;0.03177723887260053;0.23129477203996185;12
2020-06-12;1591916401;0.692217874332392;0.019766616710873396;0.2666935665420427;14
2020-06-13;1592002801;0.6077858163136234;0.019574166218784328;0.3308470573425012;11
2020-06-14;1592089201;0.5857981295748045;0.005250646552539184;0.2846018983082068;5
2020-06-15;1592175601;0.3484489711529829;0.001711767151535903;0.21965689728937202;7
2020-06-16;1592262001;0.597449141762669;0.031525567555387414;0.31319195907051306;1
2020-06-17;1592348401;0.5857646591645338;0.009867623518411228;0.2893474631421327;1
2020-06-18;1592434801;0.5409830537946249;0.01643013002068537;0.3042088468165747;1
2020-06-19;1592521201;0.7056194295526719;0.026160481964826066;0.2441307168061499;2
2020-06-20;1592607601;0.649303352098986;0.029295245910853814;0.3303943709856462;5
2020-06-21;1592694001;0.5339045342634315;0.003577883055691178;0.30446563355657946;8
2020-06-22;1592780401;0.34083599317342445;0.032058199353258265;0.20152031017387717;8
2020-06-23;1592866801;0.6014483415796417;0.002163665939086123;0.28652389529239325;5
2020-06-24;1592953201;0.5078143344950713;0.04314597581378426;0.38723424555344377;7
2020-06-25;1593039601;0.5427088100402294;0.009290263463646649;0.24545261162264093;9
2020-06-26;1593126001;0.5374082608141405;0.030093508375930184;0.28697629975030065;4
2020-06-27;1593212401;0.825835792336665;0.03584094622459475;0.31010610767878316;11
2020-06-28;1593298801;0.4499374640697477;0.03196521178230029;0.3050452379671718;4
2020-06-29;1593385201;0.4096132006075721;0.03247846178065953;0.28677364698553787;3
2020-06-30;1593471601;0.6196280876205491;0.013261747359414143;0.2627217926025817;10
2020-07-01;1593558001;0.7009127126842037;0.0137631725762175;0.2696041175817454;2
2020-07-02;1593644401;0.5963914195554967;0.03301468219446566;0.2841974449621899;9
2020-07-03;1593730801;0.7754104273055274;0.03535833381200863;0.19238302158083154;6
2020-07-04;1593817201;0.7271671808199454;0.033526100118249594;0.26952082136621014;2
2020-07-05;1593903601;0.7219031308358185;0.0352718040482612;0.27099608615348175;9
2020-07-06;1593990001;0.5109980036665612;0.05681005643483421;0.1908315437941413;6
2020-07-07;1594076401;0.7505430038395599;0.03992787787102098;0.2607261810898059;16
2020-07-08;1594162801;0.6329368201525517;0.018159536938994466;0.2855855437108154;5
2020-07-09;1594249201;0.7794252428423968;0.013026154361369882;0.27565614299208;10
2020-07-10;1594335601;0.6299669745031956;0.04815493673085878;0.2502775013583898;3
2020-07-11;1594422001;0.7709658368178484;0.04180322937054221;0.27489906704680117;6
2020-07-12;1594508401;0.673398087972417;0.0328536516205438;0.28389543894900165;5
2020-07-13;1594594801;0.5276459885426397;0.04460312890632822;0.19362717702502313;13
2020-07-14;1594681201;0.8043965634712023;0.03995824937581929;0.364783049583652;11
2020-07-15;1594767601;0.5967836402097781;0.03874158557275755;0.33269182614150933;5
2020-07-16;1594854001;0.7318008637756708;0.009339582897124337;0.34616046385513555;16
2020-07-17;1594940401;0.615076989887394;0.009016938129286422;0.3053185900619146;14
2020-07-18;1595026801;0.6677645324192518;0.044513120703887396;0.29536476401020856;22
2020-07-19;1595113201;0.5267621723654713;0.0312607739464169;0.3515664686172678;18
2020-07-20;1595199601;0.4031002381844154;0.03304902988161003;0.19451235874761072;6
2020-07-21;1595286001;0.7473756956655835;0.007630963715191937;0.32454803381879954;8
2020-07-22;1595372401;0.6785883905560091;0.03666927970619605;0.28290750517660623;19
2020-07-23;1595458801;0.6452337062043031;0.03517561921700676;0.3462313080693717;14
2020-07-24;1595545201;0.7188947251379986;0.05062579213177302;0.3102024812006138;18
2020-07-25;1595631601;0.6900283080525303;0.013400008694050137;0.21007287808102787;26
2020-07-26;1595718001;0.6279601790051185;0.007549945650145496;0.15638221762912458;11
2020-07-27;1595804401;0.4363348284067324;0.03885859728981561;0.30572785342841263;13
2020-07-28;1595890801;0.6945352422694645;0.004743277228037422;0.2527972998069562;8
2020-07-29;1595977201;0.6430636283065088;0.009146354501298337;0.2686908811193519;9
2020-07-30;1596063601;0.6867797134751257;0.007140292715385629;0.19331775538615453;19
2020-07-31;1596150001;0.7772019435759284;0.014028003121159639;0.35497637470904864;21
2020-08-01;1596236401;0.679850447425098;0.02445294750816242;0.3358580068427091;21
2020-08-02;1596322801;0.7653986689192671;0.017659080019173812;0.2723537736288537;9
2020-08-03;1596409201;0.556422685367653;0.04863060669109058;0.18511066891308786;9
2020-08-04;1596495601;0.7526364759389607;0.01150283396302042;0.2336586533860286;9
2020-08-05;1596582001;0.7324790941058693;0.01722302861915502;0.19358669419754052;11
2020-08-06;1596668401;0.762612857938625;0.041052448888641846;0.21890248668220502;33
2020-08-07;1596754801;0.6793272319146918;0.04306406831682409;0.19873389468342784;24
2020-08-08;1596841201;0.752698593448247;0.053698965122910995;0.24415823296201444;32
2020-08-09;1596927601;0.7282337539930096;0.022449719078369172;0.25395040721236456;43
2020-08-10;1597014001;0.41683459415645724;0.009396648076720386;0.24202506025248766;35
2020-08-11;1597100401;0.7015234035372091;0.01913965266351768;0.26698964047444773;15
2020-08-12;1597186801;0.759608209063899;0.054189372987163156;0.27193670625184574;22
2020-08-13;1597273201;0.6968522920333418;0.13018403219774247;0.1762995992381208;45
2020-08-14;1597359601;0.7786551551005375;0.10114739435987308;0.29246668765663053;40
2020-08-15;1597446001;0.8194706043273527;0.08305044964182347;0.2156178907660904;24
2020-08-16;1597532401;0.6591065755747532;0.05653870725486781;0.2428635784425273;39
2020-08-17;1597618801;0.42891625045689796;0.051377522627960366;0.2541164668873999;30
2020-08-18;1597705201;0.7583367073873379;0.058662300970711415;0.28935978554635444;24
2020-08-19;1597791601;0.7938672090546621;0.07591908722272883;0.2441044716577859;32
2020-08-20;1597878001;0.8849092471625752;0.06700151166599719;0.2842235449505929;44
2020-08-21;1597964401;0.4902766384205402;0.05610276224805352;0.18388270590044578;52
2020-08-22;1598050801;0.5961935131027102;0.04445558466322914;0.2414347174325689;35
2020-08-23;1598137201;0.4975235202630383;0.04703845745252463;0.4166503954062105;22
2020-08-24;1598223601;0.44898095963277307;0.041475122609951086;0.22744954980301402;36
2020-08-25;1598310001;0.7563509246744996;0.029908419731563708;0.27225835393941844;24
2020-08-26;1598396401;0.6542688398379687;0.0411866554920325;0.3925746657769888;73
2020-08-27;1598482801;0.6973784324658505;0.03059758065097689;0.2913908239676184;91
2020-08-28;1598569201;0.7864342685393102;0.04340835111162912;0.33791494829095425;132
2020-08-29;1598655601;0.795609875181378;0.050722741396817914;0.2619949822063631;158
2020-08-30;1598742001;0.5599330050695271;0.04342039444855812;0.308098286070816;292
2020-08-31;1598828401;0.6925016613283461;0.04432623808365877;0.3273309484885308;178
2020-09-01;1598914801;0.789478035155673;0.046917915275091454;0.3428633600953741;118
2020-09-02;1599001201;0.812113159534019;0.03141185424963015;0.2714077521622448;365
2020-09-03;1599087601;0.8150768993326709;0.0414432476448888;0.3150763604130422;301
2020-09-04;1599174001;0.8194505819872265;0.02934137338035915;0.28660601555624954;459
2020-09-05;1599260401;0.8238909453025701;0.03555619735303031;0.31724714936024984;510
2020-09-06;1599346801;0.8409705508266723;0.05171125376189623;0.3169897427413316;495
2020-09-07;1599433201;0.7814621008496708;0.027080721129463255;0.2447453261818119;576
2020-09-08;1599519601;0.8687766036708516;0.029268816596488657;0.3112411653413802;341
2020-09-09;1599606001;0.8895019744279976;0.021916594730898506;0.30742471307539104;411
2020-09-10;1599692401;0.9038338457546242;0.021301734798864623;0.29895300126682156;476
2020-09-11;1599778801;0.8971808871585721;0.03233823518007575;0.38213028150490813;718
2020-09-12;1599865201;0.8995942220805974;0.020291218436139062;0.3462848357438833;916
2020-09-13;1599951601;0.695603169977499;0.028627886091165015;0.3330949626869761;484
2020-09-14;1600038001;0.7527362468446637;0.02448221945538594;0.24161421856897486;844
2020-09-15;1600124401;0.8927036437619034;0.025584499826624578;0.26292200469745464;726
2020-09-16;1600210801;0.8048461268082405;0.0262396611693379;0.2529926534425133;581
2020-09-17;1600297201;0.7938258628023421;0.020958653844109866;0.2944075873854533;710
2020-09-18;1600383601;0.9330479498228778;0.04288929508548674;0.25612792096944614;941
2020-09-19;1600470001;0.8958961496903406;0.019106438691755285;0.2870188793818857;809
2020-09-20;1600556401;0.8041703326280928;0.017031488426566224;0.20423405821684582;1070
2020-09-21;1600642801;0.602703346914264;0.017315647130916607;0.2873502804484737;876
2020-09-22;1600729201;0.9468654241467248;0.005753638964524206;0.2636038085842419;633
2020-09-23;1600815601;0.9082026356177547;0.026228740161423965;0.28509564546602256;951
2020-09-24;1600902001;0.925559428661938;0.032026274112456427;0.32100135077131764;750
2020-09-25;1600988401;0.9237025431566491;0.014091086327914417;0.27085310675551044;927
2020-09-26;1601074801;0.9071051947366671;0.01960443663657704;0.24841519151216776;950
2020-09-27;1601161201;0.8391167022128967;0.03186385261665421;0.22414585679050542;937
2020-09-28;1601247601;0.762374161010965;0.03520209461059877;0.21920150451136783;702
2020-09-29;1601334001;0.8714766026273104;0.010686516524860487;0.22734199732963936;851
2020-09-30;1601420401;0.7850867519654695;0.02475832058328609;0.22228611098283166;894
2020-10-01;1601506801;0.9358487538089956;0.027378607588073596;0.20270031651922452;848
2020-10-02;1601593201;0.9210070122363142;0.014210554978675169;0.23901204185520653;1322
2020-10-03;1601679601;0.902775851541021;0.010279461898882236;0.2843088991692101;1086
2020-10-04;1601766001;0.7985798292387697;0.028864263513527468;0.3277982109575652;858
2020-10-05;1601852401;0.6145701405128271;0.031083038641991807;0.18741413298151943;905
2020-10-06;1601938801;0.8777277238639016;0.013975777932557854;0.2960059186004216;818
2020-10-07;1602025201;0.9330502089371245;0.03603848736759455;0.3335253883487954;816
2020-10-08;1602111601;0.78506505432161;0.03511216393569597;0.30883549457835874;932
2020-10-09;1602198001;0.9308702655963402;0.015038924010444477;0.20901908539950267;1176
2020-10-10;1602284401;0.903754848116806;0.02306180773633101;0.34967796761647396;1374
2020-10-11;1602370801;0.815667028625655;0.02211348681848574;0.2025704592585094;1068
2020-10-12;1602457201;0.5877809463551461;0.016450518250018448;0.23593909555194756;1173
2020-10-13;1602543601;0.9154103516027917;0.030406936120531677;0.18654577882445605;1025
2020-10-14;1602630001;0.8980213495211148;0.018434709967768474;0.22731826513669817;920
2020-10-15;1602716401;0.9348070119077261;0.025997888260006905;0.26039498552456414;950
2020-10-16;1602802801;0.9338880020439914;0.016447320713789973;0.2832524256259552;1293
2020-10-17;1602889201;0.9182152810692649;0.016290419178070656;0.230419773819022;1791
2020-10-18;1602975601;0.7960051380467389;0.023930434569169597;0.1754405809586566;1474
2020-10-19;1603062001;0.5774261276733295;0.011684252548640247;0.21440758348646627;1478
